Source,Target,Type,Weight
Frome,Bethel Town,Undirected,1
Frome,Bluefields,Undirected,1
Frome,Cascade,Undirected,1
Frome,Darliston,Undirected,1
Frome,Grange Hill,Undirected,1
Frome,Hopewell,Undirected,1
Gayle,Claremont,Undirected,1
Gayle,Ewarton,Undirected,1
Gayle,Guy's Hill,Undirected,1
Gayle,Highgate,Undirected,1
Gayle,Islington,Undirected,1
Gayle,Linstead,Undirected,1
Golden Grove,Bath,Undirected,1
Golden Grove,Dalvey,Undirected,1
Golden Grove,Manchioneal,Undirected,1
Golden Grove,Moore Town,Undirected,1
Gordon Town,Above Rocks,Undirected,1
Gordon Town,Buff Bay,Undirected,1
Gordon Town,Constant Spring,Undirected,1
Grange Hill,Cascade,Undirected,1
Grange Hill,Frome,Undirected,1
Grange Hill,Hopewell,Undirected,1
Grange Hill,Little London,Undirected,1
Grange Hill,Lucea,Undirected,1
Guy's Hill,Above Rocks,Undirected,1
Guy's Hill,Annotto Bay,Undirected,1
Hayes,Chapelton,Undirected,1
Hayes,Lionel Town,Undirected,1
Hayes,May Pen,Undirected,1
Hayes,Old Harbour,Undirected,1
Hayes,Old Harbour Bay,Undirected,1
Highgate,Above Rocks,Undirected,1
Highgate,Annotto Bay,Undirected,1
Highgate,Buff Bay,Undirected,1
Hope Bay,Annotto Bay,Undirected,1
Hope Bay,Buff Bay,Undirected,1
Hope Bay,Gordon Town,Undirected,1
Hope Bay,Mavis Bank,Undirected,1
Hope Bay,Moore Town,Undirected,1
Hopewell,Frome,Undirected,1
Hopewell,Grange Hill,Undirected,1
Hopewell,Little London,Undirected,1
Hopewell,Lucea,Undirected,1
Islington,Above Rocks,Undirected,1
Islington,Annotto Bay,Undirected,1
Islington,Buff Bay,Undirected,1
Islington,Gayle,Undirected,1
Islington,Guy's Hill,Undirected,1
Kellits,Alexandria,Undirected,1
Kellits,Bamboo,Undirected,1
Kellits,Bog Walk,Undirected,1
Kellits,Cave Valley,Undirected,1
Lacovia,Balaclava,Undirected,1
Lacovia,Black River,Undirected,1
Lacovia,Brompton,Undirected,1
Linstead,Above Rocks,Undirected,1
Linstead,Bog Walk,Undirected,1
Linstead,Croft's Hill,Undirected,1
Linstead,Ewarton,Undirected,1
Linstead,Gayle,Undirected,1
Lionel Town,Hayes,Undirected,1
Lionel Town,May Pen,Undirected,1
Lionel Town,Old Harbour,Undirected,1
Lionel Town,Old Harbour Bay,Undirected,1
Lionel Town,Osbourne Store,Undirected,1
Little London,Bluefields,Undirected,1
Little London,Cascade,Undirected,1
Little London,Frome,Undirected,1
Little London,Grange Hill,Undirected,1
Lluidas Vale,Bog Walk,Undirected,1
Lluidas Vale,Chapelton,Undirected,1
Lluidas Vale,Croft's Hill,Undirected,1
Lluidas Vale,Ewarton,Undirected,1
Lluidas Vale,Frankfield,Undirected,1
Lluidas Vale,Guy's Hill,Undirected,1
Lucea,Cascade,Undirected,1
Lucea,Frome,Undirected,1
Lucea,Grange Hill,Undirected,1
Lucea,Hopewell,Undirected,1
Lucky Hill,Bog Walk,Undirected,1
Lucky Hill,Claremont,Undirected,1
Lucky Hill,Ewarton,Undirected,1
Lucky Hill,Gayle,Undirected,1
Lucky Hill,Guy's Hill,Undirected,1
Lucky Hill,Highgate,Undirected,1
Maggotty,Balaclava,Undirected,1
Maggotty,Black River,Undirected,1
Maggotty,Brompton,Undirected,1
Maggotty,Cambridge,Undirected,1
Malvern,Alligator Pond,Undirected,1
Malvern,Balaclava,Undirected,1
Malvern,Black River,Undirected,1
Manchioneal,Bath,Undirected,1
Manchioneal,Dalvey,Undirected,1
Manchioneal,Golden Grove,Undirected,1
Mandeville,Alligator Pond,Undirected,1
Mandeville,Balaclava,Undirected,1
Mandeville,Bull Savanna,Undirected,1
Mandeville,Chapelton,Undirected,1
Maroon Town,Anchovy,Undirected,1
Maroon Town,Balaclava,Undirected,1
Maroon Town,Bethel Town,Undirected,1
Maroon Town,Cambridge,Undirected,1
Mavis Bank,Above Rocks,Undirected,1
Mavis Bank,Buff Bay,Undirected,1
Mavis Bank,Constant Spring,Undirected,1
Mavis Bank,Easington,Undirected,1
May Pen,Chapelton,Undirected,1
May Pen,Croft's Hill,Undirected,1
May Pen,Frankfield,Undirected,1
May Pen,Hayes,Undirected,1
Moneague,Bamboo,Undirected,1
Moneague,Bog Walk,Undirected,1
Moneague,Claremont,Undirected,1
Moneague,Croft's Hill,Undirected,1
Moneague,Ewarton,Undirected,1
Moneague,Gayle,Undirected,1
Montego Bay,Anchovy,Undirected,1
Montego Bay,Bethel Town,Undirected,1
Montego Bay,Cambridge,Undirected,1
Montego Bay,Cascade,Undirected,1
Montego Bay,Maroon Town,Undirected,1
Moore Town,Bath,Undirected,1
Moore Town,Easington,Undirected,1
Morant Bay,Bath,Undirected,1
Morant Bay,Dalvey,Undirected,1
Morant Bay,Easington,Undirected,1
Nain,Alligator Pond,Undirected,1
Nain,Balaclava,Undirected,1
Nain,Bull Savanna,Undirected,1
Nain,Lacovia,Undirected,1
Negril,Frome,Undirected,1
Negril,Grange Hill,Undirected,1
Negril,Hopewell,Undirected,1
Negril,Little London,Undirected,1
Negril,Lucea,Undirected,1
Ocho Rios,Bamboo,Undirected,1
Ocho Rios,Claremont,Undirected,1
Ocho Rios,Gayle,Undirected,1
Ocho Rios,Guy's Hill,Undirected,1
Ocho Rios,Lucky Hill,Undirected,1
Ocho Rios,Moneague,Undirected,1
Old Harbour,Bog Walk,Undirected,1
Old Harbour,Hayes,Undirected,1
Old Harbour,Lionel Town,Undirected,1
Old Harbour,Lluidas Vale,Undirected,1
Old Harbour Bay,Bog Walk,Undirected,1
Old Harbour Bay,Hayes,Undirected,1
Old Harbour Bay,Lionel Town,Undirected,1
Old Harbour Bay,Lluidas Vale,Undirected,1
Oracabessa,Gayle,Undirected,1
Oracabessa,Highgate,Undirected,1
Oracabessa,Islington,Undirected,1
Oracabessa,Lucky Hill,Undirected,1
Oracabessa,Ocho Rios,Undirected,1
Oracabessa,Port Maria,Undirected,1
Osbourne Store,Chapelton,Undirected,1
Osbourne Store,Croft's Hill,Undirected,1
Osbourne Store,Frankfield,Undirected,1
Osbourne Store,Hayes,Undirected,1
Osbourne Store,Kellits,Undirected,1
Petersfield,Anchovy,Undirected,1
Petersfield,Bethel Town,Undirected,1
Petersfield,Bluefields,Undirected,1
Petersfield,Cambridge,Undirected,1
Petersfield,Cascade,Undirected,1
Petersfield,Darliston,Undirected,1
Point Hill,Above Rocks,Undirected,1
Point Hill,Bog Walk,Undirected,1
Point Hill,Chapelton,Undirected,1
Point Hill,Croft's Hill,Undirected,1
Point Hill,Ewarton,Undirected,1
Point Hill,Guy's Hill,Undirected,1
Port Antonio,Bath,Undirected,1
Port Antonio,Hope Bay,Undirected,1
Port Antonio,Manchioneal,Undirected,1
Port Antonio,Moore Town,Undirected,1
Port Maria,Annotto Bay,Undirected,1
Port Maria,Gayle,Undirected,1
Port Maria,Guy's Hill,Undirected,1
Port Maria,Highgate,Undirected,1
Port Maria,Islington,Undirected,1
Port Royal,Above Rocks,Undirected,1
Port Royal,Constant Spring,Undirected,1
Port Royal,Gordon Town,Undirected,1
Port Royal,Mavis Bank,Undirected,1
Port Royal,Portmore,Undirected,1
Port Royal,Spanish Town,Undirected,1
Portmore,Above Rocks,Undirected,1
Portmore,Bog Walk,Undirected,1
Portmore,Constant Spring,Undirected,1
Portmore,Gordon Town,Undirected,1
Portmore,Mavis Bank,Undirected,1
Porus,Alligator Pond,Undirected,1
Porus,Bull Savanna,Undirected,1
Porus,Chapelton,Undirected,1
Porus,Christiana,Undirected,1
Race Course,Hayes,Undirected,1
Race Course,Lionel Town,Undirected,1
Race Course,May Pen,Undirected,1
Race Course,Old Harbour,Undirected,1
Race Course,Old Harbour Bay,Undirected,1
Race Course,Osbourne Store,Undirected,1
Richmond,Above Rocks,Undirected,1
Richmond,Annotto Bay,Undirected,1
Richmond,Bog Walk,Undirected,1
Richmond,Buff Bay,Undirected,1
Richmond,Constant Spring,Undirected,1
