Source,Target,Type,Weight
Brompton,White House,Undirected,1
Brown's Town,Albert Town,Undirected,1
Brown's Town,Alexandria,Undirected,1
Brown's Town,Bamboo,Undirected,1
Brown's Town,Cave Valley,Undirected,1
Brown's Town,Claremont,Undirected,1
Brown's Town,Clark's Town,Undirected,1
Brown's Town,Coleyville,Undirected,1
Brown's Town,Discovery Bay (Dry Harbour),Undirected,1
Brown's Town,Duncans,Undirected,1
Brown's Town,Rio Bueno,Undirected,1
Brown's Town,Runaway Bay,Undirected,1
Brown's Town,Saint Ann's Bay,Undirected,1
Brown's Town,Ulster Spring,Undirected,1
Buff Bay,Annotto Bay,Undirected,1
Buff Bay,Constant Spring,Undirected,1
Buff Bay,Gordon Town,Undirected,1
Buff Bay,Highgate,Undirected,1
Buff Bay,Hope Bay,Undirected,1
Buff Bay,Islington,Undirected,1
Buff Bay,Mavis Bank,Undirected,1
Buff Bay,Richmond,Undirected,1
Buff Bay,Stony Hill,Undirected,1
Bull Savanna,Alligator Pond,Undirected,1
Bull Savanna,Malvern,Undirected,1
Bull Savanna,Mandeville,Undirected,1
Bull Savanna,Nain,Undirected,1
Bull Savanna,Porus,Undirected,1
Bull Savanna,Southfield,Undirected,1
Bull Savanna,Williamsfield,Undirected,1
Cambridge,Anchovy,Undirected,1
Cambridge,Bethel Town,Undirected,1
Cambridge,Bluefields,Undirected,1
Cambridge,Cascade,Undirected,1
Cambridge,Darliston,Undirected,1
Cambridge,Maggotty,Undirected,1
Cambridge,Maroon Town,Undirected,1
Cambridge,Montego Bay,Undirected,1
Cambridge,Petersfield,Undirected,1
Cambridge,Savanna-la-Mar,Undirected,1
Cambridge,Siloah,Undirected,1
Cambridge,Wakefield,Undirected,1
Cascade,Anchovy,Undirected,1
Cascade,Bethel Town,Undirected,1
Cascade,Cambridge,Undirected,1
Cascade,Darliston,Undirected,1
Cascade,Frome,Undirected,1
Cascade,Grange Hill,Undirected,1
Cascade,Little London,Undirected,1
Cascade,Lucea,Undirected,1
Cascade,Montego Bay,Undirected,1
Cascade,Petersfield,Undirected,1
Cascade,Sandy Bay,Undirected,1
Cave Valley,Albert Town,Undirected,1
Cave Valley,Alexandria,Undirected,1
Cave Valley,Bamboo,Undirected,1
Cave Valley,Brown's Town,Undirected,1
Cave Valley,Chapelton,Undirected,1
Cave Valley,Christiana,Undirected,1
Cave Valley,Claremont,Undirected,1
Cave Valley,Coleyville,Undirected,1
Cave Valley,Croft's Hill,Undirected,1
Cave Valley,Discovery Bay (Dry Harbour),Undirected,1
Cave Valley,Frankfield,Undirected,1
Cave Valley,Kellits,Undirected,1
Cave Valley,Runaway Bay,Undirected,1
Cave Valley,Saint Ann's Bay,Undirected,1
Cave Valley,Sanguinetti,Undirected,1
Cave Valley,Seaford Town,Undirected,1
Chapelton,Cave Valley,Undirected,1
Chapelton,Croft's Hill,Undirected,1
Chapelton,Ewarton,Undirected,1
Chapelton,Frankfield,Undirected,1
Chapelton,Hayes,Undirected,1
Chapelton,Kellits,Undirected,1
Chapelton,Lluidas Vale,Undirected,1
Chapelton,Mandeville,Undirected,1
Chapelton,May Pen,Undirected,1
Chapelton,Osbourne Store,Undirected,1
Chapelton,Point Hill,Undirected,1
Chapelton,Porus,Undirected,1
Chapelton,Sanguinetti,Undirected,1
Chapelton,Williamsfield,Undirected,1
Christiana,Albert Town,Undirected,1
Christiana,Alexandria,Undirected,1
Christiana,Balaclava,Undirected,1
Christiana,Cave Valley,Undirected,1
Christiana,Coleyville,Undirected,1
Christiana,Frankfield,Undirected,1
Christiana,Mandeville,Undirected,1
Christiana,Porus,Undirected,1
Christiana,Sanguinetti,Undirected,1
Christiana,Seaford Town,Undirected,1
Christiana,Ulster Spring,Undirected,1
Christiana,Williamsfield,Undirected,1
Claremont,Alexandria,Undirected,1
Claremont,Bamboo,Undirected,1
Claremont,Brown's Town,Undirected,1
Claremont,Cave Valley,Undirected,1
Claremont,Ewarton,Undirected,1
Claremont,Gayle,Undirected,1
Claremont,Guy's Hill,Undirected,1
Claremont,Kellits,Undirected,1
Claremont,Lucky Hill,Undirected,1
Claremont,Moneague,Undirected,1
Claremont,Ocho Rios,Undirected,1
Claremont,Runaway Bay,Undirected,1
Claremont,Saint Ann's Bay,Undirected,1
Clark's Town,Albert Town,Undirected,1
Clark's Town,Brown's Town,Undirected,1
Clark's Town,Coleyville,Undirected,1
Clark's Town,Discovery Bay (Dry Harbour),Undirected,1
Clark's Town,Duncans,Undirected,1
Clark's Town,Falmouth,Undirected,1
Clark's Town,Maroon Town,Undirected,1
Clark's Town,Rio Bueno,Undirected,1
Clark's Town,Ulster Spring,Undirected,1
Clark's Town,Wakefield,Undirected,1
Coleyville,Albert Town,Undirected,1
Coleyville,Alexandria,Undirected,1
Coleyville,Balaclava,Undirected,1
Coleyville,Brown's Town,Undirected,1
Coleyville,Cave Valley,Undirected,1
Coleyville,Christiana,Undirected,1
Coleyville,Clark's Town,Undirected,1
Coleyville,Frankfield,Undirected,1
Coleyville,Mandeville,Undirected,1
Coleyville,Porus,Undirected,1
Coleyville,Sanguinetti,Undirected,1
Coleyville,Seaford Town,Undirected,1
Coleyville,Siloah,Undirected,1
Constant Spring,Above Rocks,Undirected,1
Constant Spring,Annotto Bay,Undirected,1
Constant Spring,Buff Bay,Undirected,1
Constant Spring,Easington,Undirected,1
Constant Spring,Gordon Town,Undirected,1
Constant Spring,Kingston,Undirected,1
Constant Spring,Mavis Bank,Undirected,1
Constant Spring,Port Royal,Undirected,1
Constant Spring,Portmore,Undirected,1
Constant Spring,Richmond,Undirected,1
Constant Spring,Riversdale,Undirected,1
Constant Spring,Spanish Town,Undirected,1
Constant Spring,Stony Hill,Undirected,1
Croft's Hill,Alexandria,Undirected,1
Croft's Hill,Bog Walk,Undirected,1
Croft's Hill,Cave Valley,Undirected,1
Croft's Hill,Chapelton,Undirected,1
Croft's Hill,Ewarton,Undirected,1
Croft's Hill,Frankfield,Undirected,1
Croft's Hill,Kellits,Undirected,1
Croft's Hill,Linstead,Undirected,1
Croft's Hill,Lluidas Vale,Undirected,1
Croft's Hill,May Pen,Undirected,1
Croft's Hill,Moneague,Undirected,1
Croft's Hill,Osbourne Store,Undirected,1
Croft's Hill,Point Hill,Undirected,1
Croft's Hill,Porus,Undirected,1
Croft's Hill,Sanguinetti,Undirected,1
Dalvey,Bath,Undirected,1
Dalvey,Golden Grove,Undirected,1
Dalvey,Manchioneal,Undirected,1
Dalvey,Morant Bay,Undirected,1
Dalvey,Seaforth,Undirected,1
Darliston,Anchovy,Undirected,1
Darliston,Bethel Town,Undirected,1
Darliston,Bluefields,Undirected,1
Darliston,Brompton,Undirected,1
Darliston,Cambridge,Undirected,1
Darliston,Cascade,Undirected,1
Darliston,Frome,Undirected,1
Darliston,Maggotty,Undirected,1
Darliston,Maroon Town,Undirected,1
Darliston,Petersfield,Undirected,1
Darliston,Savanna-la-Mar,Undirected,1
Darliston,White House,Undirected,1
Discovery Bay (Dry Harbour),Alexandria,Undirected,1
