Id,Label,timeset,Lat,Long,Parish,Population
Retreat,Retreat,,17.8750969,-76.3734985,Saint Thomas,4157.25
Wilmington,Wilmington,,18.408328,-77.856936,Saint Thomas,4157.25
Barking Lodge,Barking Lodge,,17.892805600000003,-76.2844079,Saint Thomas,4157.25
Amity Hall,Amity Hall,,17.9558605,-76.24972240000001,Saint Thomas,4157.25
Salt Marsh,Salt Marsh,,18.4944908,-77.70371309999999,Trelawny,2977.857143
Bounty Hall,Bounty Hall,,18.4518582,-77.7085247,Trelawny,2977.857143
Clarks Town,Clarks Town,,18.4153066,-77.5418791,Trelawny,2977.857143
Deeside,Deeside,,18.370507999999997,-77.609482,Trelawny,2977.857143
Bunkers Hill,Bunkers Hill,,18.1925,-76.9225,Trelawny,2977.857143
Alps,Alps,,18.335778100000002,-77.51427199999999,Trelawny,2977.857143
Duanvale,Duanvale,,18.4056917,-77.5948946,Trelawny,2977.857143
Kinloss,Kinloss,,18.403422600000003,-77.560509,Trelawny,2977.857143
Martha Brae,Martha Brae,,18.4704799,-77.6600552,Trelawny,2977.857143
Sherwood Content,Sherwood Content,,18.3907938,-77.627018,Trelawny,2977.857143
Samuels Prospect,Samuels Prospect,,18.371810999999997,-77.608795,Trelawny,2977.857143
Daniel Town,Daniel Town,,18.4567641,-77.6178125,Trelawny,2977.857143
Jackson Town,Jackson Town,,18.4126718,-77.4802353,Trelawny,2977.857143
Spicy Hill,Spicy Hill,,18.458508600000002,-77.5449371,Trelawny,2977.857143
Hampden,Hampden,,18.440133300000003,-77.7452445,Trelawny,2977.857143
Orange Hill,Orange Hill,,18.263333300000003,-77.9897222,Westmoreland,4190.181818
Jerusalem,Jerusalem,,18.326958899999997,-78.2305758,Westmoreland,4190.181818
Burnt Savannah,Burnt Savannah,,18.3166667,-78.1,Westmoreland,4190.181818
Haddo,Haddo,,18.2925319,-78.02167920000001,Westmoreland,4190.181818
Savannah-la-mar Business Dist.,Savannah-la-mar Business Dist.,,18.2259951,-78.1308761,Westmoreland,4190.181818
Smithfield,Smithfield,,18.221877199999998,-78.10779670000001,Westmoreland,4190.181818
Georges Plain,Georges Plain,,18.278954199999998,-78.1421905,Westmoreland,4190.181818
Fort Williams,Fort Williams,,18.3055556,-78.0658333,Westmoreland,4190.181818
Paul Island,Paul Island,,18.2850216,-78.2528652,Westmoreland,4190.181818
Town Head,Town Head,,18.319454800000003,-78.1396496,Westmoreland,4190.181818
Hertford,Hertford,,18.2582307,-78.0908651,Westmoreland,4190.181818
Shefield,Shefield,,18.2775801,-78.30457679999999,Westmoreland,4190.181818
Truro,Truro,,18.3089722,-78.1504116,Westmoreland,4190.181818
Strathbogie,Strathbogie,,18.305557,-78.156917,Westmoreland,4190.181818
Llandilo,Llandilo,,18.229494600000002,-78.14165600000001,Westmoreland,4190.181818
Cave,Cave,,18.207138399999998,-78.04379499999999,Westmoreland,4190.181818
Mount Airy,Mount Airy,,18.251213699999997,-78.32849190000002,Westmoreland,4190.181818
Delveland,Delveland,,18.2753015,-78.2377205,Westmoreland,4190.181818
Mackfield,Mackfield,,18.312728,-78.15554399999999,Westmoreland,4190.181818
Gooden's River,Gooden's River,,18.31338,-78.15897700000001,Westmoreland,4190.181818
Chantilly,Chantilly,,18.312728,-78.15485699999999,Westmoreland,4190.181818
Whithorn,Whithorn,,18.2798539,-78.0288139,Westmoreland,4190.181818
Broughton,Broughton,,18.2273009,-78.2251136,Westmoreland,4190.181818
Whitehouse,Whitehouse,,18.0943972,-77.9667267,Westmoreland,4190.181818
Mount Stewart,Mount Stewart,,18.2983206,-77.99516559999999,Westmoreland,4190.181818
Seaton Crescent,Seaton Crescent,,18.2281151,-78.13548709999999,Westmoreland,4190.181818
Three Mile River,Three Mile River,,18.2598908,-78.13581740000001,Westmoreland,4190.181818
Cornwall Mountian,Cornwall Mountian,,18.2914145,-77.9888917,Westmoreland,4190.181818
Fullersfield,Fullersfield,,18.2871307,-78.19900990000001,Westmoreland,4190.181818
