Id,Label,timeset,modularity_class,Degree,lat,long,parish,population
Runaway Bay,Runaway Bay,,1,5,18.45,-77.33,Saint Ann,5655
Saint Ann's Bay,Saint Ann's Bay,,1,5,18.44,-77.22,Saint Ann,10961
Sandy Bay,Sandy Bay,,2,5,18.45,-78.1,Hanover,4476
Sanguinetti,Sanguinetti,,4,5,18.1,-77.34,Clarendon,3900
Santa Cruz,Santa Cruz,,4,5,18.07,-77.72,Saint Elizabeth,8144
Savanna-la-Mar,Savanna-la-Mar,,2,5,18.16,-77.95,Westmoreland,16553
Seaford Town,Seaford Town,,4,5,18.15,-77.54,Westmoreland,4108
Seaforth,Seaforth,,5,5,17.93,-76.45,Saint Thomas,4108
Siloah,Siloah,,4,5,18.17,-77.73,Saint Elizabeth,2701
Southfield,Southfield,,4,5,17.88,-77.67,Saint Elizabeth,2671
Spanish Town,Spanish Town,,0,5,17.9958,-76.9551,Saint Catherine,92383
Stony Hill,Stony Hill,,3,5,18.08,-76.78,Saint Andrew,8244
Trinity Ville,Trinity Ville,,5,5,17.95,-76.53,Saint Thomas,2614
Ulster Spring,Ulster Spring,,1,5,18.32,-77.52,Trelawny,1391
Wakefield,Wakefield,,1,5,18.42,-77.72,Trelawny,2724
White House,White House,,2,5,18.08,-77.97,Westmoreland,3157
Williamsfield,Williamsfield,,4,5,18.07,-77.48,Manchester,2800
Yallahs,Yallahs,,5,5,17.87,-76.57,Saint Thomas,6902
Grantham,Grantham,,6,5,17.955718,-77.240515,Clarendon,7611.090909
Mineral Heights,Mineral Heights,,6,5,17.942157,-77.23333,Clarendon,7611.090909
May Pen Proper,May Pen Proper,,6,5,17.971896,-77.243044,Clarendon,7611.090909
Longwood,Longwood,,6,5,17.813019,-77.280742,Clarendon,7611.090909
Copse,Copse,,0,5,17.969923,-76.788615,Hanover,3511.4
Logwood,Logwood,,7,5,18.344818,-78.297987,Hanover,3511.4
Cacoon,Cacoon,,7,5,18.40883,-78.202591,Hanover,3511.4
Orange Bay,Orange Bay,,7,5,18.369958,-78.314518,Hanover,3511.4
Ramble,Ramble,,2,5,18.350996,-77.977434,Hanover,3511.4
Kingsvale,Kingsvale,,7,5,18.386414,-78.203463,Hanover,3511.4
Dias,Dias,,7,5,18.398245,-78.194203,Hanover,3511.4
Jericho,Jericho,,2,5,18.429078,-78.129345,Hanover,3511.4
Rock Spring,Rock Spring,,2,5,18.409796,-78.133592,Hanover,3511.4
Lucea West,Lucea West,,7,5,18.450419,-78.176394,Hanover,3511.4
Askenish,Askenish,,2,5,18.384,-78.150467,Hanover,3511.4
Lucea East,Lucea East,,7,5,18.450419,-78.176394,Hanover,3511.4
Lances Bay,Lances Bay,,7,5,18.445113,-78.219844,Hanover,3511.4
Great Valley,Great Valley,,2,5,18.396561,-78.075392,Hanover,3511.4
Cousins Cove,Cousins Cove,,7,5,18.423351,-78.245479,Hanover,3511.4
Success,Success,,2,5,18.365076,-78.047067,Hanover,3511.4
Santoy,Santoy,,7,5,18.356514,-78.286054,Hanover,3511.4
Cauldwell,Cauldwell,,7,5,18.389526,-78.244952,Hanover,3511.4
Mount Peto,Mount Peto,,2,5,18.344065,-78.017178,Hanover,3511.4
Maryland,Maryland,,2,5,18.387556,-78.129812,Hanover,3511.4
Cacoon Castle,Cacoon Castle,,2,5,18.428237,-78.131552,Hanover,3511.4
Chester Castle,Chester Castle,,2,5,18.321366,-77.970296,Hanover,3511.4
Haddington,Haddington,,2,5,18.409771,-78.133638,Hanover,3511.4
Pondside,Pondside,,2,5,18.396561,-78.075392,Hanover,3511.4
March Town,March Town,,7,5,18.34504,-78.277597,Hanover,3511.4
East Down Town,East Down Town,,0,5,17.970992,-76.789609,Kingston,295401
Denham Town,Denham Town,,0,5,18.037052,-76.830003,Kingston,295401
Central Down Town,Central Down Town,,0,5,18.017874,-76.809904,Kingston,295401
Passmore Town,Passmore Town,,0,5,17.96968,-76.78126,Kingston,295401
Rollington Town,Rollington Town,,0,5,17.977595,-76.76972,Kingston,295401
D'Aguilar Town/ Rennock Lodge,D'Aguilar Town/ Rennock Lodge,,0,5,17.999862,-76.817184,Kingston,295401
West Down Town,West Down Town,,0,5,17.968725,-76.788471,Kingston,295401
Tivoli Gardens,Tivoli Gardens,,0,5,17.974651,-76.80073,Kingston,295401
Newton Square,Newton Square,,0,5,17.95984,-76.87722,Kingston,295401
