Id,Label,timeset,modularity_class,Degree,lat,long,parish,population
Clonmel,Clonmel,,3,5,18.242302,-76.850084,Saint Mary,3841.666667
Font Hill,Font Hill,,5,5,17.937417,-76.505465,Saint Thomas,4157.25
Duckenfield,Duckenfield,,5,5,17.921518,-76.260946,Saint Thomas,4157.25
Church Corner,Church Corner,,5,5,17.886246,-76.417259,Saint Thomas,4157.25
Port Morant,Port Morant,,5,5,17.896142,-76.331889,Saint Thomas,4157.25
White Horses,White Horses,,5,5,17.881546,-76.453417,Saint Thomas,4157.25
Retreat,Retreat,,5,5,17.875097,-76.373498,Saint Thomas,4157.25
Wilmington,Wilmington,,2,5,18.408328,-77.856936,Saint Thomas,4157.25
Barking Lodge,Barking Lodge,,5,5,17.892806,-76.284408,Saint Thomas,4157.25
Amity Hall,Amity Hall,,5,5,17.955861,-76.249722,Saint Thomas,4157.25
Salt Marsh,Salt Marsh,,1,5,18.494491,-77.703713,Trelawny,2977.857143
Bounty Hall,Bounty Hall,,1,5,18.451858,-77.708525,Trelawny,2977.857143
Clarks Town,Clarks Town,,1,5,18.415307,-77.541879,Trelawny,2977.857143
Deeside,Deeside,,1,5,18.370508,-77.609482,Trelawny,2977.857143
Bunkers Hill,Bunkers Hill,,0,5,18.1925,-76.9225,Trelawny,2977.857143
Alps,Alps,,1,5,18.335778,-77.514272,Trelawny,2977.857143
Duanvale,Duanvale,,1,5,18.405692,-77.594895,Trelawny,2977.857143
Kinloss,Kinloss,,1,5,18.403423,-77.560509,Trelawny,2977.857143
Martha Brae,Martha Brae,,1,5,18.47048,-77.660055,Trelawny,2977.857143
Sherwood Content,Sherwood Content,,1,5,18.390794,-77.627018,Trelawny,2977.857143
Samuels Prospect,Samuels Prospect,,1,5,18.371811,-77.608795,Trelawny,2977.857143
Daniel Town,Daniel Town,,1,5,18.456764,-77.617812,Trelawny,2977.857143
Jackson Town,Jackson Town,,1,5,18.412672,-77.480235,Trelawny,2977.857143
Spicy Hill,Spicy Hill,,1,5,18.458509,-77.544937,Trelawny,2977.857143
Hampden,Hampden,,1,5,18.440133,-77.745244,Trelawny,2977.857143
Orange Hill,Orange Hill,,2,5,18.263333,-77.989722,Westmoreland,4190.181818
Jerusalem,Jerusalem,,7,5,18.326959,-78.230576,Westmoreland,4190.181818
Burnt Savannah,Burnt Savannah,,2,5,18.316667,-78.1,Westmoreland,4190.181818
Haddo,Haddo,,2,5,18.292532,-78.021679,Westmoreland,4190.181818
Savannah-la-mar Business Dist.,Savannah-la-mar Business Dist.,,2,5,18.225995,-78.130876,Westmoreland,4190.181818
Smithfield,Smithfield,,2,5,18.221877,-78.107797,Westmoreland,4190.181818
Georges Plain,Georges Plain,,2,5,18.278954,-78.14219,Westmoreland,4190.181818
Fort Williams,Fort Williams,,2,5,18.305556,-78.065833,Westmoreland,4190.181818
Paul Island,Paul Island,,7,5,18.285022,-78.252865,Westmoreland,4190.181818
Town Head,Town Head,,2,5,18.319455,-78.13965,Westmoreland,4190.181818
Hertford,Hertford,,2,5,18.258231,-78.090865,Westmoreland,4190.181818
Shefield,Shefield,,7,5,18.27758,-78.304577,Westmoreland,4190.181818
Truro,Truro,,2,5,18.308972,-78.150412,Westmoreland,4190.181818
Strathbogie,Strathbogie,,2,5,18.305557,-78.156917,Westmoreland,4190.181818
Llandilo,Llandilo,,2,5,18.229495,-78.141656,Westmoreland,4190.181818
Cave,Cave,,2,5,18.207138,-78.043795,Westmoreland,4190.181818
Mount Airy,Mount Airy,,7,5,18.251214,-78.328492,Westmoreland,4190.181818
Delveland,Delveland,,7,5,18.275302,-78.23772,Westmoreland,4190.181818
Mackfield,Mackfield,,2,5,18.312728,-78.155544,Westmoreland,4190.181818
Gooden's River,Gooden's River,,2,5,18.31338,-78.158977,Westmoreland,4190.181818
Chantilly,Chantilly,,2,5,18.312728,-78.154857,Westmoreland,4190.181818
Whithorn,Whithorn,,2,5,18.279854,-78.028814,Westmoreland,4190.181818
Broughton,Broughton,,7,5,18.227301,-78.225114,Westmoreland,4190.181818
Whitehouse,Whitehouse,,2,5,18.094397,-77.966727,Westmoreland,4190.181818
Mount Stewart,Mount Stewart,,2,5,18.298321,-77.995166,Westmoreland,4190.181818
Seaton Crescent,Seaton Crescent,,2,5,18.228115,-78.135487,Westmoreland,4190.181818
Three Mile River,Three Mile River,,2,5,18.259891,-78.135817,Westmoreland,4190.181818
Cornwall Mountian,Cornwall Mountian,,2,5,18.291414,-77.988892,Westmoreland,4190.181818
Fullersfield,Fullersfield,,7,5,18.287131,-78.19901,Westmoreland,4190.181818
