Id,Label,timeset,lat,long,parish,population,modularity_class,Weighted Degree,recovery weight,Recovery Weight,Log Recovery Weight
Grange Hill,Grange Hill,,18.37,-78.2,Westmoreland,6530.0,6,33,0.25,0.470615,0.15665781368524334
Gayle,Gayle,,18.33,-77.0,Saint Mary,3205.0,1,17,0.25,0.4855775,0.18447547695306477
Islington,Islington,,18.32,-76.85,Saint Mary,2868.0,1,9,0.25,0.487094,0.18881787677038137
Hopewell,Hopewell,,18.25,-78.3,Hanover,4268.0,6,24,0.25,0.480794,0.17327980303228108
Little London,Little London,,18.3,-78.2,Westmoreland,1848.0,6,22,0.25,0.491684,0.2059968229804321
Lionel Town,Lionel Town,,17.8,-77.23,Clarendon,4669.0,7,11,0.25,0.4789895,0.16976985134622746
May Pen,May Pen,,17.97,-77.24,Clarendon,45903.0,7,8,0.25,0.2934365,0.08043430371170596
Old Harbour,Old Harbour,,17.92,-77.1,Saint Catherine,17778.0,7,9,0.25,0.419999,0.11751053883226747
Hope Bay,Hope Bay,,18.2,-76.57,Portland,1569.0,4,9,0.25,0.4929395,0.21239393507717574
Lucea,Lucea,,18.44,-78.18,Hanover,6002.0,6,9,0.25,0.472991,0.15995336080200495
Kellits,Kellits,,18.17,-77.23,Clarendon,2291.0,7,8,0.25,0.4896905,0.19759774197295427
Linstead,Linstead,,18.15,-77.02,Saint Catherine,14114.0,0,5,0.25,0.436487,0.12653148982116963
Old Harbour Bay,Old Harbour Bay,,17.9,-77.1,Saint Catherine,5405.0,7,9,0.25,0.4756775,0.16404838715396036
Lluidas Vale,Lluidas Vale,,18.12,-77.15,Saint Catherine,2161.0,7,7,0.25,0.4902755,0.19988107098050834
Lucky Hill,Lucky Hill,,18.3,-77.02,Saint Mary,750.0,1,7,0.25,0.496625,0.24124448629474698
Moneague,Moneague,,18.28,-77.1,Saint Ann,2880.0,5,5,0.25,0.48704000000000003,0.1886546761016692
Montego Bay,Montego Bay,,18.4666,-77.9166,Saint James,96488.0,2,9,0.25,0.06580400000000003,0.0513974025991194
Negril,Negril,,18.32,-78.33,Westmoreland,4184.0,6,6,0.25,0.481172,0.1740567491726704
Ocho Rios,Ocho Rios,,18.42,-77.11,Saint Ann,8189.0,1,6,0.25,0.4631495,0.14780922159977955
Oracabessa,Oracabessa,,18.47,-76.93,Saint Mary,4066.0,1,5,0.25,0.481703,0.17517493631281822
Osbourne Store,Osbourne Store,,17.97,-77.33,Clarendon,3390.0,7,5,0.25,0.484745,0.1822820271617226
Petersfield,Petersfield,,18.25,-78.07,Westmoreland,2045.0,2,5,0.25,0.4907975,0.20203760188909758
Point Hill,Point Hill,,18.08,-77.1,Saint Catherine,3651.0,7,5,0.25,0.4835705,0.17938293503452452
Port Antonio,Port Antonio,,18.16,-76.38,Portland,13246.0,4,9,0.25,0.440393,0.12901237243602176
Snow Hill,Snow Hill,,18.200444,-76.50040600000001,Portland,4130.0,4,6,0.25,0.481415,0.1745644953509239
Port Maria,Port Maria,,18.37,-76.89,Saint Mary,7651.0,1,5,0.25,0.4655705,0.1504653618232436
Port Royal,Port Royal,,17.93,-76.85,Kingston,3004.0,0,5,0.25,0.486482,0.1870070064501082
Portmore,Portmore,,17.9499,-76.8799,Saint Catherine,90138.0,0,5,0.25,0.09437899999999999,0.05405828741339885
Race Course,Race Course,,17.83,-77.28,Clarendon,2589.0,7,5,0.25,0.4883495,0.19281811546086147
Richmond,Richmond,,18.23,-76.9,Saint Mary,1984.0,1,5,0.25,0.491072,0.20322124989636564
Riversdale,Riversdale,,18.15,-76.97,Saint Catherine,2791.0,0,5,0.25,0.4874405,0.18988161471602322
Rocky Point,Rocky Point,,17.77,-77.27,Clarendon,2744.0,7,5,0.25,0.487652,0.19054543036687577
Runaway Bay,Runaway Bay,,18.45,-77.33,Saint Ann,5655.0,5,5,0.25,0.4745525,0.16228106516646734
Saint Ann's Bay,Saint Ann's Bay,,18.44,-77.22,Saint Ann,10961.0,5,5,0.25,0.4506755,0.13641348400253017
Sandy Bay,Sandy Bay,,18.45,-78.1,Hanover,4476.0,2,5,0.25,0.479858,0.17141989299293187
Sanguinetti,Sanguinetti,,18.1,-77.34,Clarendon,3900.0,3,5,0.25,0.48245,0.1768041853676151
Santa Cruz,Santa Cruz,,18.07,-77.72,Saint Elizabeth,8144.0,3,5,0.25,0.463352,0.14802460115065846
Savanna-la-Mar,Savanna-la-Mar,,18.16,-77.95,Westmoreland,16553.0,2,5,0.25,0.4255115,0.12030109564525193
Seaford Town,Seaford Town,,18.15,-77.54,Westmoreland,4108.0,3,5,0.25,0.481514,0.17477326085672829
Seaforth,Seaforth,,17.93,-76.45,Saint Thomas,4108.0,4,5,0.25,0.481514,0.17477326085672829
Siloah,Siloah,,18.17,-77.73,Saint Elizabeth,2701.0,3,5,0.25,0.4878455,0.19116278742312942
Southfield,Southfield,,17.88,-77.67,Saint Elizabeth,2671.0,3,5,0.25,0.4879805,0.19159935007807644
Spanish Town,Spanish Town,,17.9958,-76.9551,Saint Catherine,92383.0,0,5,0.25,0.08427650000000003,0.05309671449160114
Stony Hill,Stony Hill,,18.08,-76.78,Saint Andrew,8244.0,1,5,0.25,0.462902,0.1475475815203542
Trinity Ville,Trinity Ville,,17.95,-76.53,Saint Thomas,2614.0,4,5,0.25,0.488237,0.19244249750799275
Ulster Spring,Ulster Spring,,18.32,-77.52,Trelawny,1391.0,5,5,0.25,0.4937405,0.21710055830071584
Wakefield,Wakefield,,18.42,-77.72,Trelawny,2724.0,5,5,0.25,0.487742,0.19083136070833273
White House,White House,,18.08,-77.97,Westmoreland,3157.0,2,5,0.25,0.4857935,0.18506528762970048
Williamsfield,Williamsfield,,18.07,-77.48,Manchester,2800.0,3,5,0.25,0.4874,0.18975577717920028
Yallahs,Yallahs,,17.87,-76.57,Saint Thomas,6902.0,4,5,0.25,0.468941,0.15449225405400785
Grantham,Grantham,,17.955718,-77.240515,Clarendon,7611.0909090000005,7,5,0.25,0.4657500909095,0.15066977816235066
Mineral Heights,Mineral Heights,,17.942157,-77.23333000000001,Clarendon,7611.0909090000005,7,5,0.25,0.4657500909095,0.15066977816235066
May Pen Proper,May Pen Proper,,17.971895999999997,-77.243044,Clarendon,7611.0909090000005,7,5,0.25,0.4657500909095,0.15066977816235066
Longwood,Longwood,,17.813019,-77.280742,Clarendon,7611.0909090000005,7,5,0.25,0.4657500909095,0.15066977816235066
Copse,Copse,,17.969923,-76.78861500000001,Hanover,3511.4,0,5,0.25,0.4841987,0.18090677256805304
Logwood,Logwood,,18.344818,-78.297987,Hanover,3511.4,6,5,0.25,0.4841987,0.18090677256805304
Cacoon,Cacoon,,18.40883,-78.202591,Hanover,3511.4,6,5,0.25,0.4841987,0.18090677256805304
Orange Bay,Orange Bay,,18.369958,-78.314518,Hanover,3511.4,6,5,0.25,0.4841987,0.18090677256805304
Ramble,Ramble,,18.350996,-77.977434,Hanover,3511.4,2,5,0.25,0.4841987,0.18090677256805304
Kingsvale,Kingsvale,,18.386414000000002,-78.203463,Hanover,3511.4,6,5,0.25,0.4841987,0.18090677256805304
Dias,Dias,,18.398245000000003,-78.194203,Hanover,3511.4,6,5,0.25,0.4841987,0.18090677256805304
Jericho,Jericho,,18.429078,-78.129345,Hanover,3511.4,2,5,0.25,0.4841987,0.18090677256805304
Rock Spring,Rock Spring,,18.409796,-78.13359200000001,Hanover,3511.4,2,5,0.25,0.4841987,0.18090677256805304
Lucea West,Lucea West,,18.450419,-78.17639399999999,Hanover,3511.4,6,5,0.25,0.4841987,0.18090677256805304
Askenish,Askenish,,18.384,-78.150467,Hanover,3511.4,2,5,0.25,0.4841987,0.18090677256805304
Lucea East,Lucea East,,18.450419,-78.17639399999999,Hanover,3511.4,6,5,0.25,0.4841987,0.18090677256805304
Lances Bay,Lances Bay,,18.445113,-78.219844,Hanover,3511.4,6,5,0.25,0.4841987,0.18090677256805304
Great Valley,Great Valley,,18.396561,-78.07539200000001,Hanover,3511.4,2,5,0.25,0.4841987,0.18090677256805304
Cousins Cove,Cousins Cove,,18.423351,-78.245479,Hanover,3511.4,6,5,0.25,0.4841987,0.18090677256805304
Success,Success,,18.365076000000002,-78.047067,Hanover,3511.4,2,5,0.25,0.4841987,0.18090677256805304
Santoy,Santoy,,18.356514,-78.28605400000001,Hanover,3511.4,6,5,0.25,0.4841987,0.18090677256805304
Cauldwell,Cauldwell,,18.389526,-78.244952,Hanover,3511.4,6,5,0.25,0.4841987,0.18090677256805304
Mount Peto,Mount Peto,,18.344065,-78.017178,Hanover,3511.4,2,5,0.25,0.4841987,0.18090677256805304
Maryland,Maryland,,18.387556,-78.129812,Hanover,3511.4,2,5,0.25,0.4841987,0.18090677256805304
Cacoon Castle,Cacoon Castle,,18.428237,-78.131552,Hanover,3511.4,2,5,0.25,0.4841987,0.18090677256805304
Chester Castle,Chester Castle,,18.321366,-77.97029599999999,Hanover,3511.4,2,5,0.25,0.4841987,0.18090677256805304
Haddington,Haddington,,18.409771,-78.133638,Hanover,3511.4,2,5,0.25,0.4841987,0.18090677256805304
Pondside,Pondside,,18.396561,-78.07539200000001,Hanover,3511.4,2,5,0.25,0.4841987,0.18090677256805304
March Town,March Town,,18.34504,-78.277597,Hanover,3511.4,6,5,0.25,0.4841987,0.18090677256805304
East Down Town,East Down Town,,17.970992000000003,-76.789609,Kingston,16411.0,0,5,0.25,0.4261505,0.12063784590677645
Denham Town,Denham Town,,18.037052,-76.830003,Kingston,16411.0,0,5,0.25,0.4261505,0.12063784590677645
Central Down Town,Central Down Town,,18.017874,-76.809904,Kingston,16411.0,0,5,0.25,0.4261505,0.12063784590677645
Passmore Town,Passmore Town,,17.96968,-76.78126,Kingston,16411.0,0,5,0.25,0.4261505,0.12063784590677645
Rollington Town,Rollington Town,,17.977595,-76.76971999999999,Kingston,16411.0,0,5,0.25,0.4261505,0.12063784590677645
D'Aguilar Town/ Rennock Lodge,D'Aguilar Town/ Rennock Lodge,,17.999862,-76.817184,Kingston,16411.0,0,5,0.25,0.4261505,0.12063784590677645
West Down Town,West Down Town,,17.968725,-76.788471,Kingston,16411.0,0,5,0.25,0.4261505,0.12063784590677645
Tivoli Gardens,Tivoli Gardens,,17.974651,-76.80073,Kingston,16411.0,0,5,0.25,0.4261505,0.12063784590677645
Newton Square,Newton Square,,17.95984,-76.87722,Kingston,16411.0,0,5,0.25,0.4261505,0.12063784590677645
Kingston Gardens,Kingston Gardens,,18.024718,-76.809602,Kingston,16411.0,0,5,0.25,0.4261505,0.12063784590677645
