Lat,Long,Name,Parish,Population
18.4233505,-78.2454787,Cousins Cove,Hanover,
18.3650764,-78.0470674,Success,Hanover,
18.3565143,-78.2860538,Santoy,Hanover,
18.389526,-78.244952,Cauldwell,Hanover,
18.3440652,-78.0171776,Mount Peto,Hanover,
18.3875564,-78.129812,Maryland,Hanover,
18.428237,-78.131552,Cacoon Castle,Hanover,
18.321366,-77.9702959,Chester Castle,Hanover,
18.4097707,-78.133638,Haddington,Hanover,
18.396561,-78.0753922,Pondside,Hanover,
18.3450397,-78.2775975,March Town,Hanover,
17.9709915,-76.7896092,East Down Town,Kingston,
18.0370515,-76.8300026,Denham Town,Kingston,
18.0178743,-76.8099041,Central Down Town,Kingston,
17.9696796,-76.7812596,Passmore Town,Kingston,
17.9775951,-76.7697201,Rollington Town,Kingston,
17.999862,-76.817184,D'Aguilar Town/ Rennock Lodge,Kingston,
17.9687247,-76.7884713,West Down Town,Kingston,
17.9746509,-76.8007301,Tivoli Gardens,Kingston,
17.9598402,-76.8772202,Newton Square,Kingston,
18.0247183,-76.8096019,Kingston Gardens,Kingston,
17.9711901,-76.7610647,Bournemouth Gardens,Kingston,
37.244319,-93.3888303,Springfield,Kingston,
18.0178743,-76.8099041,Rae Town,Kingston,
17.984597,-76.787029,Allman Town,Kingston,
17.9675956,-76.7685245,Manley Meadows,Kingston,
17.9779933,-76.77549,Franklyn Town,Kingston,
17.9797019,-76.7581794,Norman Gardens,Kingston,
17.9794542,-76.7913834,Fletchers Land,Kingston,
18.030429,-77.5361462,Hatfield,Manchester,
18.036775,-77.505284,Mandeville Proper,Manchester,
17.92865,-77.516319,Newport,Manchester,
17.9936351,-77.5074774,Knockpatrick,Manchester,
18.05352,-77.5107955,New Green,Manchester,
18.056782,-77.4716313,Royal Flat,Manchester,
18.1577304,-77.4572897,Part of Spaldings,Manchester,
18.2004437,-76.5004058,Snow Hill,Portland,
18.1712764,-76.4476321,Central Port Antonio,Portland,
18.1164768,-76.3344723,Windsor Forest,Portland,
18.1942695,-76.4756623,Norwich,Portland,
18.0141493,-76.7524087,Mona Heights,Saint Andrew,
18.0215401,-76.8206626,Seaward Pen,Saint Andrew,
17.9429207,-76.6672602,Bull Bay/ Seven Mile,Saint Andrew,
17.9892841,-76.8172184,Delacree Park/ Union Gardens,Saint Andrew,
18.0060132,-76.7471032,University,Saint Andrew,
17.9523291,-76.7192221,Harbour View,Saint Andrew,
18.058326,-76.85372,Red Hills (Rural),Saint Andrew,
18.0554552,-76.782702,Norbrook,Saint Andrew,
18.1279072,-76.8464094,Lawrence Tavern,Saint Andrew,
17.9954951,-76.8187557,Delacree Pen,Saint Andrew,
17.9675704,-76.8047372,Greenwich Town/ Newport West,Saint Andrew,
18.0104393,-76.829911,Tower Hill,Saint Andrew,
17.9857896,-76.8043355,Trench Town,Saint Andrew,
18.0285683,-76.8437456,Waterhouse,Saint Andrew,
18.0316384,-76.7909524,Grants Pen,Saint Andrew,
18.038067,-76.8092343,Whitehall,Saint Andrew,
18.0516394,-76.8115458,Havendale,Saint Andrew,
18.0256117,-76.7711626,Barbican,Saint Andrew,
18.0948578,-76.8353266,Cavaliers,Saint Andrew,
18.042897,-76.8075801,Roehampton,Saint Andrew,
17.9928319,-76.7906347,Cross Roads,Saint Andrew,
18.0295934,-76.8288489,Pembroke Hall,Saint Andrew,
18.0026187,-76.7956825,Kencot,Saint Andrew,
17.9898081,-76.7783748,Vineyard Town,Saint Andrew,
18.0145858,-76.7407491,Hope Tavern,Saint Andrew,
18.0240752,-76.8302515,Drewsland,Saint Andrew,
18.0077875,-76.7653924,Beverley Hills,Saint Andrew,
18.0317407,-76.8389413,Patrick City,Saint Andrew,
18.0147484,-76.7610647,Liguanea,Saint Andrew,
17.9939663,-76.7430993,Hermitage,Saint Andrew,
18.0123464,-76.7372819,Kintyre,Saint Andrew,
18.0202884,-76.8079418,Cassia Park,Saint Andrew,
18.0308946,-76.8256479,Three Oaks/ Glendale,Saint Andrew,
17.9947009,-76.8072196,Whitfield Town,Saint Andrew,
18.0434374,-76.7769324,Cherry Gardens,Saint Andrew,
18.0023101,-76.7920934,Half-Way-Tree,Saint Andrew,
18.062488,-76.758457,Boucher Park,Saint Andrew,
18.0127087,-76.8016686,Molynes Four Roads,Saint Andrew,
18.0186816,-76.7444736,Hope Pastures/ UTECH,Saint Andrew,
18.0154557,-76.7984452,Eastwood Park Gardens,Saint Andrew,
17.9930231,-76.7408666,August Town,Saint Andrew,
18.0901601,-76.8014512,Golden Spring,Saint Andrew,
18.0117678,-76.8230815,Cockburn Gardens,Saint Andrew,
18.0346081,-76.8173138,Molynes Gardens,Saint Andrew,
18.0296291,-76.8504744,Duhaney Park,Saint Andrew,
18.0356818,-76.7960431,Oaklands,Saint Andrew,
18.0314148,-76.8183952,Hughenden,Saint Andrew,
18.0143109,-76.8090264,Marverley,Saint Andrew,
18.0051643,-76.8115458,Richmond Park,Saint Andrew,
18.041663,-76.856527,Forest Hills/ Plantation Height,Saint Andrew,
17.9860686,-76.7978458,Jones Town,Saint Andrew,
56.1237904,-3.947428,Red Hills/ Sterling Castle,Saint Andrew,
18.0369734,-76.824646,Arlene Gardens,Saint Andrew,
18.040034,-76.825525,Queensborough/ Tunbridge,Saint Andrew,
17.9861074,-76.766835,Mountain View Gardens,Saint Andrew,
18.0243421,-76.8158718,Zaidie Gardens,Saint Andrew,
18.0113112,-76.7848655,Trafalgar Park,Saint Andrew,
18.0234226,-76.844708,Washington Gardens,Saint Andrew,
18.0263767,-76.7896877,Drumblair,Saint Andrew,
18.01235,-76.813414,Waltham Gardens,Saint Andrew,
17.9848754,-76.7805384,Woodford Park,Saint Andrew,
18.0115978,-76.736538,Papine,Saint Andrew,
18.059877,-76.756397,Bloxborough,Saint Andrew,
18.3945198,-77.1095985,Parry Town,Saint Ann,
18.458202,-77.3984704,Discovery Bay,Saint Ann,
18.3894586,-77.3726379,Browns Town,Saint Ann,
18.1928269,-77.2504835,Macknie,Saint Ann,
18.348784,-77.239577,Hinds Town,Saint Ann,
18.4081733,-77.0695623,Exchange,Saint Ann,
18.4131229,-77.1628959,Steer Town,Saint Ann,
18.4329473,-77.1973997,St. Ann's Bay,Saint Ann,
18.4391752,-77.2247081,Priory,Saint Ann,
18.3931702,-77.3195196,Philadelphia,Saint Ann,
18.3880521,-77.3645357,York Castle,Saint Ann,
18.4285057,-77.2034286,Lime Hall,Saint Ann,
18.3570732,-77.0900489,Cole Gate,Saint Ann,
17.9495083,-76.8893907,Braeton,Saint Catherine,
18.0193171,-76.9758274,Spanish Town Central,Saint Catherine,
17.9827002,-76.971507,Cromarty,Saint Catherine,
17.8979127,-76.8940743,Hellshire,Saint Catherine,
