Source,Target,Type,Weight,Latitude,Longitude,Parish,Population
Chapelton,Cave Valley,Undirected,1,18.08,77.27,Clarendon,"3,930"
Chapelton,Croft's Hill,Undirected,1,18.08,77.27,Clarendon,"3,930"
Chapelton,Ewarton,Undirected,1,18.08,77.27,Clarendon,"3,930"
Chapelton,Frankfield,Undirected,1,18.08,77.27,Clarendon,"3,930"
Chapelton,Hayes,Undirected,1,18.08,77.27,Clarendon,"3,930"
Christiana,Albert Town,Undirected,1,18.17,77.49,Manchester,"7,235"
Christiana,Alexandria,Undirected,1,18.17,77.49,Manchester,"7,235"
Christiana,Balaclava,Undirected,1,18.17,77.49,Manchester,"7,235"
Claremont,Alexandria,Undirected,1,18.38,77.17,Saint Ann,"2,154"
Claremont,Bamboo,Undirected,1,18.38,77.17,Saint Ann,"2,154"
Claremont,Brown's Town,Undirected,1,18.38,77.17,Saint Ann,"2,154"
Claremont,Cave Valley,Undirected,1,18.38,77.17,Saint Ann,"2,154"
Clark's Town,Albert Town,Undirected,1,18.42,77.57,Trelawny,"3,139"
Clark's Town,Brown's Town,Undirected,1,18.42,77.57,Trelawny,"3,139"
Clark's Town,Coleyville,Undirected,1,18.42,77.57,Trelawny,"3,139"
Clark's Town,Discovery Bay (Dry Harbour),Undirected,1,18.42,77.57,Trelawny,"3,139"
Clark's Town,Duncans,Undirected,1,18.42,77.57,Trelawny,"3,139"
Coleyville,Albert Town,Undirected,1,18.22,77.5,Manchester,"3,320"
Coleyville,Alexandria,Undirected,1,18.22,77.5,Manchester,"3,320"
Coleyville,Balaclava,Undirected,1,18.22,77.5,Manchester,"3,320"
Constant Spring,Above Rocks,Undirected,1,18.05,76.78,Saint Andrew,"12,369"
Constant Spring,Annotto Bay,Undirected,1,18.05,76.78,Saint Andrew,"12,369"
Croft's Hill,Alexandria,Undirected,1,18.13,77.22,Clarendon,"2,994"
Croft's Hill,Bog Walk,Undirected,1,18.13,77.22,Clarendon,"2,994"
Croft's Hill,Cave Valley,Undirected,1,18.13,77.22,Clarendon,"2,994"
Dalvey,Bath,Undirected,1,17.9,76.25,Saint Thomas,"2,742"
Dalvey,Golden Grove,Undirected,1,17.9,76.25,Saint Thomas,"2,742"
Dalvey,Manchioneal,Undirected,1,17.9,76.25,Saint Thomas,"2,742"
Dalvey,Morant Bay,Undirected,1,17.9,76.25,Saint Thomas,"2,742"
Darliston,Anchovy,Undirected,1,18.23,77.97,Westmoreland,"1,435"
Darliston,Bethel Town,Undirected,1,18.23,77.97,Westmoreland,"1,435"
Darliston,Bluefields,Undirected,1,18.23,77.97,Westmoreland,"1,435"
Discovery Bay (Dry Harbour),Alexandria,Undirected,1,18.47,77.39,Saint Ann,"2,230"
Discovery Bay (Dry Harbour),Bamboo,Undirected,1,18.47,77.39,Saint Ann,"2,230"
Discovery Bay (Dry Harbour),Brown's Town,Undirected,1,18.47,77.39,Saint Ann,"2,230"
Discovery Bay (Dry Harbour),Cave Valley,Undirected,1,18.47,77.39,Saint Ann,"2,230"
Duncans,Albert Town,Undirected,1,18.47,77.53,Trelawny,"1,849"
Duncans,Brown's Town,Undirected,1,18.47,77.53,Trelawny,"1,849"
Duncans,Clark's Town,Undirected,1,18.47,77.53,Trelawny,"1,849"
Duncans,Discovery Bay (Dry Harbour),Undirected,1,18.47,77.53,Trelawny,"1,849"
Easington,Constant Spring,Undirected,1,17.92,76.6,Saint Thomas,"2,378"
Easington,Gordon Town,Undirected,1,17.92,76.6,Saint Thomas,"2,378"
Easington,Kingston,Undirected,1,17.92,76.6,Saint Thomas,"2,378"
Easington,Mavis Bank,Undirected,1,17.92,76.6,Saint Thomas,"2,378"
Easington,Moore Town,Undirected,1,17.92,76.6,Saint Thomas,"2,378"
Ewarton,Above Rocks,Undirected,1,18.18,77.08,Saint Catherine,"8,742"
Ewarton,Bog Walk,Undirected,1,18.18,77.08,Saint Catherine,"8,742"
Falmouth,Albert Town,Undirected,1,18.49,77.66,Trelawny,"7,245"
Falmouth,Clark's Town,Undirected,1,18.49,77.66,Trelawny,"7,245"
Falmouth,Duncans,Undirected,1,18.49,77.66,Trelawny,"7,245"
Falmouth,Maroon Town,Undirected,1,18.49,77.66,Trelawny,"7,245"
Falmouth,Rio Bueno,Undirected,1,18.49,77.66,Trelawny,"7,245"
Frankfield,Alexandria,Undirected,1,18.15,77.35,Clarendon,"2,865"
Frankfield,Cave Valley,Undirected,1,18.15,77.35,Clarendon,"2,865"
Frankfield,Chapelton,Undirected,1,18.15,77.35,Clarendon,"2,865"
Frankfield,Christiana,Undirected,1,18.15,77.35,Clarendon,"2,865"
Frome,Bethel Town,Undirected,1,18.3,78.15,Westmoreland,900
Frome,Bluefields,Undirected,1,18.3,78.15,Westmoreland,900
Frome,Cascade,Undirected,1,18.3,78.15,Westmoreland,900
Frome,Darliston,Undirected,1,18.3,78.15,Westmoreland,900
Frome,Grange Hill,Undirected,1,18.3,78.15,Westmoreland,900
Gayle,Claremont,Undirected,1,18.33,77,Saint Mary,"3,205"
Gayle,Ewarton,Undirected,1,18.33,77,Saint Mary,"3,205"
Gayle,Guy's Hill,Undirected,1,18.33,77,Saint Mary,"3,205"
Gayle,Highgate,Undirected,1,18.33,77,Saint Mary,"3,205"
Gayle,Islington,Undirected,1,18.33,77,Saint Mary,"3,205"
Golden Grove,Bath,Undirected,1,17.93,76.27,Saint Thomas,"2,761"
Golden Grove,Dalvey,Undirected,1,17.93,76.27,Saint Thomas,"2,761"
Golden Grove,Manchioneal,Undirected,1,17.93,76.27,Saint Thomas,"2,761"
Gordon Town,Above Rocks,Undirected,1,18.05,76.7,Saint Andrew,"1,049"
Gordon Town,Buff Bay,Undirected,1,18.05,76.7,Saint Andrew,"1,049"
Grange Hill,Cascade,Undirected,1,18.37,78.2,Westmoreland,"6,530"
Grange Hill,Frome,Undirected,1,18.37,78.2,Westmoreland,"6,530"
Grange Hill,Hopewell,Undirected,1,18.37,78.2,Westmoreland,"6,530"
Grange Hill,Little London,Undirected,1,18.37,78.2,Westmoreland,"6,530"
