Id,Label,timeset,lat,long,parish,population,modularity_class,Weighted Degree,recovery weight
Glendevon,Glendevon,,18.480285,-77.900318,Saint James,2654.35,2,5,0.25
Welcome Hall,Welcome Hall,,18.373811,-77.843416,Saint James,2654.35,2,5,0.25
Farm Heights,Farm Heights,,18.47362,-77.88746,Saint James,2654.35,2,5,0.25
Maldon,Maldon,,18.461833,-77.918831,Saint James,2654.35,2,5,0.25
Retirement,Retirement,,18.439472,-77.889603,Saint James,2654.35,2,5,0.25
Porto Bello,Porto Bello,,18.462396,-77.881061,Saint James,2654.35,2,5,0.25
Tangle River,Tangle River,,18.346079,-77.820379,Saint James,2654.35,2,5,0.25
Flower Hill,Flower Hill,,18.494821,-77.84873,Saint James,2654.35,2,5,0.25
Salt Spring,Salt Spring,,18.479235,-77.89882,Saint James,2654.35,2,5,0.25
Rosemount,Rosemount,,18.474375,-77.898842,Saint James,2654.35,2,5,0.25
Niagara,Niagara,,18.279583,-77.833226,Saint James,2654.35,2,5,0.25
Coral Gardens,Coral Gardens,,18.510182,-77.863807,Saint James,2654.35,2,5,0.25
Tucker,Tucker,,18.450713,-77.886892,Saint James,2654.35,2,5,0.25
Ironshore,Ironshore,,18.507396,-77.896737,Saint James,2654.35,2,5,0.25
Adelphi,Adelphi,,18.448151,-77.79126,Saint James,2654.35,2,5,0.25
Montpelier,Montpelier,,18.362896,-77.923887,Saint James,2654.35,2,5,0.25
Summer Hill,Summer Hill,,18.517281,-77.838917,Saint James,2654.35,2,5,0.25
Mount Carey,Mount Carey,,18.386785,-77.932457,Saint James,2654.35,2,5,0.25
Reading,Reading,,18.44004,-77.943881,Saint James,2654.35,2,5,0.25
Irwin,Irwin,,18.462051,-77.91793,Saint James,2654.35,2,5,0.25
Spot Valley,Spot Valley,,18.496956,-77.793811,Saint James,2654.35,2,5,0.25
Catherine Mount,Catherine Mount,,18.464327,-77.901747,Saint James,2654.35,2,5,0.25
Friendship,Friendship,,18.474764,-77.917934,Saint James,2654.35,2,5,0.25
Montego Hill,Montego Hill,,18.489762,-77.888889,Saint James,2654.35,2,5,0.25
Flamstead,Flamstead,,18.325247,-77.822141,Saint James,2654.35,2,5,0.25
Tower Hill/Moy Hall,Tower Hill/Moy Hall,,18.412888,-77.861743,Saint James,2654.35,2,5,0.25
Castleton,Castleton,,18.201507,-76.825244,Saint Mary,3841.666667,1,5,0.25
Galina,Galina,,18.40473,-76.893714,Saint Mary,3841.666667,1,5,0.25
Enfield,Enfield,,18.232629,-76.741464,Saint Mary,3841.666667,1,5,0.25
Guys Hill,Guys Hill,,18.249976,-76.990228,Saint Mary,3841.666667,0,5,0.25
Martin,Martin,,18.283881,-76.870655,Saint Mary,3841.666667,1,5,0.25
Epson,Epson,,18.249115,-76.72665,Saint Mary,3841.666667,1,5,0.25
Baileys Vale,Baileys Vale,,18.351525,-76.906039,Saint Mary,3841.666667,1,5,0.25
Clonmel,Clonmel,,18.242302,-76.850084,Saint Mary,3841.666667,1,5,0.25
Font Hill,Font Hill,,17.937417,-76.505465,Saint Thomas,4157.25,4,5,0.25
Duckenfield,Duckenfield,,17.921518,-76.260946,Saint Thomas,4157.25,4,5,0.25
Church Corner,Church Corner,,17.886246,-76.417259,Saint Thomas,4157.25,4,5,0.25
Port Morant,Port Morant,,17.896142,-76.331889,Saint Thomas,4157.25,4,5,0.25
White Horses,White Horses,,17.881546,-76.453417,Saint Thomas,4157.25,4,5,0.25
Retreat,Retreat,,17.875097,-76.373498,Saint Thomas,4157.25,4,5,0.25
Wilmington,Wilmington,,18.408328,-77.856936,Saint Thomas,4157.25,2,5,0.25
Barking Lodge,Barking Lodge,,17.892806,-76.284408,Saint Thomas,4157.25,4,5,0.25
Amity Hall,Amity Hall,,17.955861,-76.249722,Saint Thomas,4157.25,4,5,0.25
Salt Marsh,Salt Marsh,,18.494491,-77.703713,Trelawny,2977.857143,5,5,0.25
Bounty Hall,Bounty Hall,,18.451858,-77.708525,Trelawny,2977.857143,5,5,0.25
Clarks Town,Clarks Town,,18.415307,-77.541879,Trelawny,2977.857143,5,5,0.25
Deeside,Deeside,,18.370508,-77.609482,Trelawny,2977.857143,5,5,0.25
Bunkers Hill,Bunkers Hill,,18.1925,-76.9225,Trelawny,2977.857143,0,5,0.25
Alps,Alps,,18.335778,-77.514272,Trelawny,2977.857143,5,5,0.25
Duanvale,Duanvale,,18.405692,-77.594895,Trelawny,2977.857143,5,5,0.25
Kinloss,Kinloss,,18.403423,-77.560509,Trelawny,2977.857143,5,5,0.25
Martha Brae,Martha Brae,,18.47048,-77.660055,Trelawny,2977.857143,5,5,0.25
Sherwood Content,Sherwood Content,,18.390794,-77.627018,Trelawny,2977.857143,5,5,0.25
Samuels Prospect,Samuels Prospect,,18.371811,-77.608795,Trelawny,2977.857143,5,5,0.25
Daniel Town,Daniel Town,,18.456764,-77.617812,Trelawny,2977.857143,5,5,0.25
Jackson Town,Jackson Town,,18.412672,-77.480235,Trelawny,2977.857143,5,5,0.25
Spicy Hill,Spicy Hill,,18.458509,-77.544937,Trelawny,2977.857143,5,5,0.25
Hampden,Hampden,,18.440133,-77.745244,Trelawny,2977.857143,5,5,0.25
Orange Hill,Orange Hill,,18.263333,-77.989722,Westmoreland,4190.181818,2,5,0.25
Jerusalem,Jerusalem,,18.326959,-78.230576,Westmoreland,4190.181818,6,5,0.25
Burnt Savannah,Burnt Savannah,,18.316667,-78.1,Westmoreland,4190.181818,2,5,0.25
Haddo,Haddo,,18.292532,-78.021679,Westmoreland,4190.181818,2,5,0.25
Savannah-la-mar Business Dist.,Savannah-la-mar Business Dist.,,18.225995,-78.130876,Westmoreland,4190.181818,2,5,0.25
Smithfield,Smithfield,,18.221877,-78.107797,Westmoreland,4190.181818,2,5,0.25
Georges Plain,Georges Plain,,18.278954,-78.14219,Westmoreland,4190.181818,2,5,0.25
Fort Williams,Fort Williams,,18.305556,-78.065833,Westmoreland,4190.181818,2,5,0.25
Paul Island,Paul Island,,18.285022,-78.252865,Westmoreland,4190.181818,6,5,0.25
Town Head,Town Head,,18.319455,-78.13965,Westmoreland,4190.181818,2,5,0.25
Hertford,Hertford,,18.258231,-78.090865,Westmoreland,4190.181818,2,5,0.25
Shefield,Shefield,,18.27758,-78.304577,Westmoreland,4190.181818,6,5,0.25
Truro,Truro,,18.308972,-78.150412,Westmoreland,4190.181818,2,5,0.25
Strathbogie,Strathbogie,,18.305557,-78.156917,Westmoreland,4190.181818,2,5,0.25
Llandilo,Llandilo,,18.229495,-78.141656,Westmoreland,4190.181818,2,5,0.25
Cave,Cave,,18.207138,-78.043795,Westmoreland,4190.181818,2,5,0.25
Mount Airy,Mount Airy,,18.251214,-78.328492,Westmoreland,4190.181818,6,5,0.25
Delveland,Delveland,,18.275302,-78.23772,Westmoreland,4190.181818,6,5,0.25
Mackfield,Mackfield,,18.312728,-78.155544,Westmoreland,4190.181818,2,5,0.25
Gooden's River,Gooden's River,,18.31338,-78.158977,Westmoreland,4190.181818,2,5,0.25
Chantilly,Chantilly,,18.312728,-78.154857,Westmoreland,4190.181818,2,5,0.25
Whithorn,Whithorn,,18.279854,-78.028814,Westmoreland,4190.181818,2,5,0.25
Broughton,Broughton,,18.227301,-78.225114,Westmoreland,4190.181818,6,5,0.25
Whitehouse,Whitehouse,,18.094397,-77.966727,Westmoreland,4190.181818,2,5,0.25
Mount Stewart,Mount Stewart,,18.298321,-77.995166,Westmoreland,4190.181818,2,5,0.25
Seaton Crescent,Seaton Crescent,,18.228115,-78.135487,Westmoreland,4190.181818,2,5,0.25
Three Mile River,Three Mile River,,18.259891,-78.135817,Westmoreland,4190.181818,2,5,0.25
Cornwall Mountian,Cornwall Mountian,,18.291414,-77.988892,Westmoreland,4190.181818,2,5,0.25
Fullersfield,Fullersfield,,18.287131,-78.19901,Westmoreland,4190.181818,6,5,0.25
