Id,Label,timeset,lat,long,parish,population,modularity_class,Degree
Black River,Black River,,18.03,-77.86,Saint Elizabeth,"<[3.0, 675.0]>",1,13
Brompton,Brompton,,18.06,-77.9,Saint Elizabeth,"<[1.0, 457.0]>",1,11
Maggotty,Maggotty,,18.15,-77.77,Saint Elizabeth,"<[1.0, 359.0]>",1,6
Croft's Hill,Croft's Hill,,18.13,-77.22,Clarendon,"<[2.0, 994.0]>",2,11
Highgate,Highgate,,18.32,-76.87,Saint Mary,"<[5.0, 418.0]>",2,7
Chapelton,Chapelton,,18.08,-77.27,Clarendon,"<[3.0, 930.0]>",2,15
Frankfield,Frankfield,,18.15,-77.35,Clarendon,"<[2.0, 865.0]>",2,8
Hayes,Hayes,,17.88,-77.25,Clarendon,"<[8.0, 447.0]>",2,11
Clark's Town,Clark's Town,,18.42,-77.57,Trelawny,"<[3.0, 139.0]>",0,9
Discovery Bay (Dry Harbour),Discovery Bay (Dry Harbour),,18.47,-77.39,Saint Ann,"<[2.0, 230.0]>",0,7
Duncans,Duncans,,18.47,-77.53,Trelawny,"<[1.0, 849.0]>",0,8
Easington,Easington,,17.92,-76.6,Saint Thomas,"<[2.0, 378.0]>",2,11
Kingston,Kingston,,17.9833,-76.8,Kingston / St. Andrew,"<[587.0, 798.0]>",2,8
Mavis Bank,Mavis Bank,,18.02,-76.67,Saint Andrew,"<[1.0, 756.0]>",2,8
Falmouth,Falmouth,,18.49,-77.66,Trelawny,"<[7.0, 245.0]>",0,5
Rio Bueno,Rio Bueno,,18.57,-77.45,Trelawny,"<[1.0, 108.0]>",0,5
Frome,Frome,,18.3,-78.15,Westmoreland,<[900.0]>,1,11
Grange Hill,Grange Hill,,18.37,-78.2,Westmoreland,"<[6.0, 530.0]>",1,9
Gayle,Gayle,,18.33,-77,Saint Mary,"<[3.0, 205.0]>",2,11
Islington,Islington,,18.32,-76.85,Saint Mary,"<[2.0, 868.0]>",2,7
Hopewell,Hopewell,,18.25,-78.3,Hanover,"<[4.0, 268.0]>",1,7
Little London,Little London,,18.3,-78.2,Westmoreland,"<[1.0, 848.0]>",1,6
Lionel Town,Lionel Town,,17.8,-77.23,Clarendon,"<[4.0, 669.0]>",2,9
May Pen,May Pen,,17.97,-77.24,Clarendon,"<[45.0, 903.0]>",2,7
Old Harbour,Old Harbour,,17.92,-77.1,Saint Catherine,"<[17.0, 778.0]>",2,7
Hope Bay,Hope Bay,,18.2,-76.57,Portland,"<[1.0, 569.0]>",2,6
Lucea,Lucea,,18.44,-78.18,Hanover,"<[2.0, 6.0]>",1,6
Kellits,Kellits,,18.17,-77.23,Clarendon,"<[2.0, 291.0]>",2,6
Linstead,Linstead,,18.15,-77.02,Saint Catherine,"<[14.0, 114.0]>",2,5
Old Harbour Bay,Old Harbour Bay,,17.9,-77.1,Saint Catherine,"<[5.0, 405.0]>",2,7
Lluidas Vale,Lluidas Vale,,18.12,-77.15,Saint Catherine,"<[2.0, 161.0]>",2,6
Lucky Hill,Lucky Hill,,18.3,-77.02,Saint Mary,<[750.0]>,2,7
Moneague,Moneague,,18.28,-77.1,Saint Ann,"<[2.0, 880.0]>",2,5
Montego Bay,Montego Bay,,18.4666,-77.9166,Saint James,"<[96.0, 488.0]>",1,5
Negril,Negril,,18.32,-78.33,Westmoreland,"<[4.0, 184.0]>",1,5
Ocho Rios,Ocho Rios,,18.42,-77.11,Saint Ann,"<[8.0, 189.0]>",2,6
Oracabessa,Oracabessa,,18.47,-76.93,Saint Mary,"<[4.0, 66.0]>",2,5
Osbourne Store,Osbourne Store,,17.97,-77.33,Clarendon,"<[3.0, 390.0]>",2,5
Petersfield,Petersfield,,18.25,-78.07,Westmoreland,"<[2.0, 45.0]>",1,5
Point Hill,Point Hill,,18.08,-77.1,Saint Catherine,"<[3.0, 651.0]>",2,5
Port Antonio,Port Antonio,,18.16,-76.38,Portland,"<[13.0, 246.0]>",2,4
Port Maria,Port Maria,,18.37,-76.89,Saint Mary,"<[7.0, 651.0]>",2,5
Port Royal,Port Royal,,17.93,-76.85,Kingston,"<[3.0, 4.0]>",2,5
Portmore,Portmore,,17.9499,-76.8799,Saint Catherine,"<[90.0, 138.0]>",2,5
Race Course,Race Course,,17.83,-77.28,Clarendon,"<[2.0, 589.0]>",2,5
Richmond,Richmond,,18.23,-76.9,Saint Mary,"<[1.0, 984.0]>",2,5
Riversdale,Riversdale,,18.15,-76.97,Saint Catherine,"<[2.0, 791.0]>",2,5
Rocky Point,Rocky Point,,17.77,-77.27,Clarendon,"<[2.0, 744.0]>",2,5
Runaway Bay,Runaway Bay,,18.45,-77.33,Saint Ann,"<[5.0, 655.0]>",0,5
Saint Ann's Bay,Saint Ann's Bay,,18.44,-77.22,Saint Ann,"<[10.0, 961.0]>",0,5
Sandy Bay,Sandy Bay,,18.45,-78.1,Hanover,"<[4.0, 476.0]>",1,5
Sanguinetti,Sanguinetti,,18.1,-77.34,Clarendon,"<[3.0, 900.0]>",0,5
Santa Cruz,Santa Cruz,,18.07,-77.72,Saint Elizabeth,"<[8.0, 144.0]>",1,5
Savanna-la-Mar,Savanna-la-Mar,,18.16,-77.95,Westmoreland,"<[16.0, 553.0]>",1,5
Seaford Town,Seaford Town,,18.15,-77.54,Westmoreland,"<[4.0, 108.0]>",0,5
Seaforth,Seaforth,,17.93,-76.45,Saint Thomas,"<[4.0, 108.0]>",2,5
Siloah,Siloah,,18.17,-77.73,Saint Elizabeth,"<[2.0, 701.0]>",1,5
Southfield,Southfield,,17.88,-77.67,Saint Elizabeth,"<[2.0, 671.0]>",0,5
Spanish Town,Spanish Town,,17.9958,-76.9551,Saint Catherine,"<[92.0, 383.0]>",2,5
Stony Hill,Stony Hill,,18.08,-76.78,Saint Andrew,"<[8.0, 244.0]>",2,5
Trinity Ville,Trinity Ville,,17.95,-76.53,Saint Thomas,"<[2.0, 614.0]>",2,5
Ulster Spring,Ulster Spring,,18.32,-77.52,Trelawny,"<[1.0, 391.0]>",0,5
Wakefield,Wakefield,,18.42,-77.72,Trelawny,"<[2.0, 724.0]>",0,5
White House,White House,,18.08,-77.97,Westmoreland,"<[3.0, 157.0]>",1,5
Williamsfield,Williamsfield,,18.07,-77.48,Manchester,"<[2.0, 800.0]>",0,5
Yallahs,Yallahs,,17.87,-76.57,Saint Thomas,"<[6.0, 902.0]>",2,5
Grantham,Grantham,,17.955718,-77.240515,Clarendon,,3,10
Mineral Heights,Mineral Heights,,17.942157,-77.23333,Clarendon,,3,9
May Pen Proper,May Pen Proper,,17.971896,-77.243044,Clarendon,,3,8
Longwood,Longwood,,17.813019,-77.280742,Clarendon,,3,5
Kitson Town,Kitson Town,,18.018148,-77.052309,Saint Catherine,,3,5
St. John's West,St. John's West,,18.004432,-77.034857,Saint Catherine,,3,5
Copse,Copse,,17.969923,-76.788615,Hanover,,4,110
East Down Town,East Down Town,,17.970992,-76.789609,Kingston,,4,109
Denham Town,Denham Town,,18.037052,-76.830003,Kingston,,4,114
Central Down Town,Central Down Town,,18.017874,-76.809904,Kingston,,4,111
