Id,Label,timeset,lat,long,parish,population,modularity_class,Degree
Enfield,Enfield,,18.232629,-76.741464,Saint Mary,,4,5
Guys Hill,Guys Hill,,18.249976,-76.990228,Saint Mary,,8,5
Martin,Martin,,18.283881,-76.870655,Saint Mary,,4,5
Baileys Vale,Baileys Vale,,18.351525,-76.906039,Saint Mary,,8,5
Clonmel,Clonmel,,18.242302,-76.850084,Saint Mary,,4,5
Font Hill,Font Hill,,17.937417,-76.505465,Saint Thomas,,9,10
Church Corner,Church Corner,,17.886246,-76.417259,Saint Thomas,,9,8
Port Morant,Port Morant,,17.896142,-76.331889,Saint Thomas,,9,8
White Horses,White Horses,,17.881546,-76.453417,Saint Thomas,,9,7
Duckenfield,Duckenfield,,17.921518,-76.260946,Saint Thomas,,9,10
Retreat,Retreat,,17.875097,-76.373498,Saint Thomas,,9,5
Wilmington,Wilmington,,18.408328,-77.856936,Saint Thomas,,5,5
Barking Lodge,Barking Lodge,,17.892806,-76.284408,Saint Thomas,,9,5
Amity Hall,Amity Hall,,17.955861,-76.249722,Saint Thomas,,9,5
Salt Marsh,Salt Marsh,,18.494491,-77.703713,Trelawny,,8,5
Bounty Hall,Bounty Hall,,18.451858,-77.708525,Trelawny,,8,6
Clarks Town,Clarks Town,,18.415307,-77.541879,Trelawny,,8,5
Deeside,Deeside,,18.370508,-77.609482,Trelawny,,8,5
Bunkers Hill,Bunkers Hill,,18.1925,-76.9225,Trelawny,,4,5
Alps,Alps,,18.335778,-77.514272,Trelawny,,8,5
Duanvale,Duanvale,,18.405692,-77.594895,Trelawny,,8,5
Kinloss,Kinloss,,18.403423,-77.560509,Trelawny,,8,5
Martha Brae,Martha Brae,,18.47048,-77.660055,Trelawny,,8,5
Sherwood Content,Sherwood Content,,18.390794,-77.627018,Trelawny,,8,5
Samuels Prospect,Samuels Prospect,,18.371811,-77.608795,Trelawny,,8,5
Daniel Town,Daniel Town,,18.456764,-77.617812,Trelawny,,8,5
Jackson Town,Jackson Town,,18.412672,-77.480235,Trelawny,,8,5
Spicy Hill,Spicy Hill,,18.458509,-77.544937,Trelawny,,8,5
Hampden,Hampden,,18.440133,-77.745244,Trelawny,,8,5
Orange Hill,Orange Hill,,18.263333,-77.989722,Westmoreland,,5,5
Jerusalem,Jerusalem,,18.326959,-78.230576,Westmoreland,,5,5
Burnt Savannah,Burnt Savannah,,18.316667,-78.1,Westmoreland,,5,5
Haddo,Haddo,,18.292532,-78.021679,Westmoreland,,5,5
Savannah-la-mar Business Dist.,Savannah-la-mar Business Dist.,,18.225995,-78.130876,Westmoreland,,5,5
Smithfield,Smithfield,,18.221877,-78.107797,Westmoreland,,5,5
Georges Plain,Georges Plain,,18.278954,-78.14219,Westmoreland,,5,5
Fort Williams,Fort Williams,,18.305556,-78.065833,Westmoreland,,5,5
Paul Island,Paul Island,,18.285022,-78.252865,Westmoreland,,5,5
Town Head,Town Head,,18.319455,-78.13965,Westmoreland,,5,5
Hertford,Hertford,,18.258231,-78.090865,Westmoreland,,5,5
Shefield,Shefield,,18.27758,-78.304577,Westmoreland,,5,5
Truro,Truro,,18.308972,-78.150412,Westmoreland,,5,5
Strathbogie,Strathbogie,,18.305557,-78.156917,Westmoreland,,5,5
Llandilo,Llandilo,,18.229495,-78.141656,Westmoreland,,5,5
Cave,Cave,,18.207138,-78.043795,Westmoreland,,5,5
Mount Airy,Mount Airy,,18.251214,-78.328492,Westmoreland,,5,5
Delveland,Delveland,,18.275302,-78.23772,Westmoreland,,5,5
Mackfield,Mackfield,,18.312728,-78.155544,Westmoreland,,5,5
Gooden's River,Gooden's River,,18.31338,-78.158977,Westmoreland,,5,5
Chantilly,Chantilly,,18.312728,-78.154857,Westmoreland,,5,5
Whithorn,Whithorn,,18.279854,-78.028814,Westmoreland,,5,5
Broughton,Broughton,,18.227301,-78.225114,Westmoreland,,5,5
Whitehouse,Whitehouse,,18.094397,-77.966727,Westmoreland,,6,5
Mount Stewart,Mount Stewart,,18.298321,-77.995166,Westmoreland,,5,5
Seaton Crescent,Seaton Crescent,,18.228115,-78.135487,Westmoreland,,5,5
Three Mile River,Three Mile River,,18.259891,-78.135817,Westmoreland,,5,5
Cornwall Mountian,Cornwall Mountian,,18.291414,-77.988892,Westmoreland,,5,5
Fullersfield,Fullersfield,,18.287131,-78.19901,Westmoreland,,5,5
